frame_time_s,f_hz,A_total_rms,B_residual_rms,thd_n_residual_over_total
2.079999999999999716e+01,2.401000000000000000e+03,4.166874439909129433e+04,1.360842573734005100e+03,3.265859322998180408e-02
2.089999999999999858e+01,2.457000000000000000e+03,4.167084831564065826e+04,1.380768841373793066e+03,3.313512676571880172e-02
2.100000000000000000e+01,2.514000000000000000e+03,4.167201393719621410e+04,1.390558733495664683e+03,3.336912719388537840e-02
2.109999999999999787e+01,2.574000000000000000e+03,4.167210405616281787e+04,1.388789825661533996e+03,3.332660678207699512e-02
2.119999999999999929e+01,2.632000000000000000e+03,4.167129514928129356e+04,1.375776998956746183e+03,3.301498055263766412e-02
2.129999999999999716e+01,2.695000000000000000e+03,4.167026756897140149e+04,1.358031098627962820e+03,3.258992989138333879e-02
2.139999999999999858e+01,2.760000000000000000e+03,4.166952836112105433e+04,1.338972894626773723e+03,3.213314254538279097e-02
2.149999999999999645e+01,2.821000000000000000e+03,4.166908333537934232e+04,1.318380494664168964e+03,3.163929679117254146e-02
2.159999999999999787e+01,2.887000000000000000e+03,4.166868717767766793e+04,1.299104370665751276e+03,3.117699305299194770e-02
2.169999999999999929e+01,2.958000000000000000e+03,4.166854706962017372e+04,1.292776094384606495e+03,3.102522610698724148e-02
2.179999999999999716e+01,3.017000000000000000e+03,4.166941486182143126e+04,1.311709578441268604e+03,3.147895363520187423e-02
2.189999999999999858e+01,3.091000000000000000e+03,4.167145206081317883e+04,1.350079941967781224e+03,3.239819769173254982e-02
2.199999999999999645e+01,3.166000000000000000e+03,4.167306607098574750e+04,1.378821667829001399e+03,3.308663839325672734e-02
2.209999999999999787e+01,3.242000000000000000e+03,4.167213515365924832e+04,1.371631356270177548e+03,3.291483268645845062e-02
2.219999999999999929e+01,3.314000000000000000e+03,4.166862022297421208e+04,1.335722124098798758e+03,3.205582802961019079e-02
2.229999999999999716e+01,3.393000000000000000e+03,4.166544023190290318e+04,1.316604183975857495e+03,3.159943052678329534e-02
2.239999999999999858e+01,3.468000000000000000e+03,4.166543779178518162e+04,1.348449094472529850e+03,3.236373277081926875e-02
2.249999999999999645e+01,3.554000000000000000e+03,4.166820446846638515e+04,1.402000580185061608e+03,3.364677211484037173e-02
